Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
Paul LePage	5	"About 47 percent of able-bodied people in the state of Maine dont work."	Only if you support jobs for babies	/truth-o-meter/statements/2013/oct/23/paul-lepage/maine-gov-paul-lepage-says-47-percent-able-bodied-/	
Battleground Texas	0	Says Dan Patrick has "called immigration into Texas an invasion" and "said immigrants coming into Texas bring third-world diseases."	'Stop the illlegal invasion!'	/texas/statements/2014/jun/20/battleground-texas/dan-patrick-has-called-illegal-immigration-invasio/	
Battleground Texas	1	In 2008, "only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out."	Dividing estimates into estimates	/texas/statements/2013/mar/22/battleground-texas/battleground-texas-says-54-percent-texas-latinos-r/	
Suzanne Somers	0	"Even after Obamacare is fully implemented, there still will be tens of millions of people not covered."	Some ridiculed her column, but this claim is correct	/punditfact/statements/2013/nov/01/suzanne-somers/suzanne-somers-says-even-obamacare-tens-millions-w/	
Jamie Oliver	2	McDonald's in England only sells organic milk and free-range eggs, which provides more nutritious offerings than in the U.S.	Policies differ under Golden Arches across the pond	/truth-o-meter/statements/2010/aug/31/jamie-oliver/chef-jamie-oliver-praises-mcdonalds-england/	
John Barge	1	"We have about six school districts that are in school 140 to 150 days this year."	Tight budgets tightening school days	/georgia/statements/2013/oct/29/john-barge/barges-count-tad-school-calendars-message-mark/	
Brian Schweitzer	5	McCain's energy plan is a "single-answer proposition"  new domestic oil drilling.	McCain energy plan not just more drilling	/truth-o-meter/statements/2008/aug/27/brian-schweitzer/mccain-energy-plan-not-just-more-drilling/	
Gail  Collins	0	Says Ron Paul doesnt believe in marriage licenses.	Let people define marriage, Paul says	/texas/statements/2011/dec/27/gail-collins/columnist-gail-collins-says-ron-paul-doesnt-believ/	
Gail  Collins	1	Louie Gohmert of Texas "compared the current general-in-charge in Egypt to George Washington."	Likened moments	/texas/statements/2013/oct/10/gail-collins/louie-gohmert-linked-george-washington-and-egyptia/	
Gail  Collins	1	Mitt Romney "drove to Canada with the family dog Seamus strapped to the roof of the car."	In a carrier with a windshield, plus he got his revenge	/truth-o-meter/statements/2011/sep/13/gail-collins/mitt-romney-and-dog-car-roof-one-columnists-obsess/	
Gail  Collins	1	Texas "ranks third in teen pregnancies... and it is No. 1 in repeat teen pregnancies."	That's how Texas ranks in teen birth rates	/texas/statements/2011/mar/07/gail-collins/new-york-times-columnist-gail-collins-say-texas-ra/	
Gail  Collins	2	Says Texas GOP platform calls for end to teaching "critical thinking" in public schools.	Critical omission	/texas/statements/2012/aug/11/gail-collins/gail-collins-says-texas-gop-platform-calls-schools/	
Gail  Collins	3	Louie Gohmert of Texas "blamed the mass shooting at a movie theater in Colorado on the ongoing attacks on Judeo-Christian beliefs.'"	Misfire	/texas/statements/2013/oct/10/gail-collins/texas-congressman-mentioned-attacks-christian-beli/	
Gail  Collins	3	Gov. Rick Perry "used $3.2 billion in stimulus dollars for schools to plug other holes in his budget."	Stimulus dollars went to education	/texas/statements/2011/mar/16/gail-collins/gail-collins-says-perry-used-32-billion-stimulus-m/	
Gail  Collins	4	Says award-winning Milwaukee Public Schools teacher Megan Sampson was laid off because Gov. Scott Walker cut state aid to education.	Walker was only a candidate then	/wisconsin/statements/2015/feb/17/gail-collins/columnist-gail-collins-blames-gov-scott-walker-tea/	
Roger Williams	0	A congressional laundry closed due to the partial government shutdown.	Shirts on delayed special	/texas/statements/2013/oct/14/roger-williams/capitol-hill-closures-due-partial-government-shutd/	
Roger Williams	0	Says he's signed a pledge not to raise taxes four times.	Five times counting repeats	/texas/statements/2011/jun/16/roger-williams/roger-williams-says-hes-signed-no-tax-pledge-four-/	
Roger Williams	2	The federal government "has $3 trillion in cash flow, so we can pay our bills" and wont default.	Who wouldn't get paid?	/texas/statements/2013/oct/16/roger-williams/roger-willliams-correct-government-could-cover-pro/	
Roger Williams	2	Says the federal government is spending $765,828 to subsidize "pancakes for yuppies" in Washington.	Jobs for poor (too)	/texas/statements/2012/jul/11/roger-williams/roger-williams-says-765828-federal-money-spent-sub/	
Roger Williams	3	Says Obama policies contributed to gas prices rising from $1.89 in January 2009 to $3.51 today.	Remember that recession?	/texas/statements/2013/jul/23/roger-williams/says-obama-policies-contributed-raising-gas-prices/	
Roger Williams	3	"The non-partisan Congressional Budget Office concluded ObamaCare will cost the U.S. more than 800,000 jobs."	Chestnut of a distortion	/texas/statements/2012/apr/17/roger-williams/roger-williams-says-cbo-forecasts-obamacare-will-c/	
Roger Williams	4	Says U.S. House opponent Michael Williams does not live in and has never voted in the congressional district hes seeking to represent.	Homestead since '95, voted then too	/texas/statements/2011/jul/05/roger-williams/roger-williams-says-foe-has-never-voted-congressio/	
Roger Williams	5	Says Barack Obama is a socialist.	Obama is a... vocalist	/texas/statements/2012/jun/08/roger-williams/roger-williams-says-obama-socialist/	
Greta Van Susteren	1	New Jersey has had "seven credit downgrades" since Chris Christie became governor.	8 actually -- from three different agencies	/punditfact/statements/2014/nov/09/greta-van-susteren/claim-new-jersey-has-had-7-credit-downgrades-chris/	
Greta Van Susteren	4	"So many people were critical of Secretary (John) Kerry going to Paris and talking with Hamas," because Kerry was seen as "supporting Hamas to the exclusion of the Arab League."	Meet was about Hamas, not with Hamas	/punditfact/statements/2014/aug/04/greta-van-susteren/van-susteren-kerry-angered-arab-league-meeting-ham/	
Athens Banner-Herald	0	Between 1980 and 2010, water usage in Georgia dropped even as the states population grew.	Big users drove declines	/georgia/statements/2015/jun/24/athens-banner-herald/did-georgias-water-use-drop-even-state-population-/	
Texas Values	3	Says legislation supported by gay rights activists would strip "mother" and "father" from future Texas birth certificates.	It's a parent!	/texas/statements/2012/nov/30/texas-values/conservative-group-says-legislative-proposal-would/	
Texas Values	4	A proposed San Antonio ordinance will allow men into womens restrooms in the city.	Law doesnt prevent them now, and business owners still could	/texas/statements/2013/sep/04/texas-values/san-antonio-ordinance-wont-allow-men-womens-restro/	
American Civil Liberties Union of Florida	1	There are "a larger number of shark attacks in Florida than there are cases of voter fraud."	Candidates, stay out of the water	/florida/statements/2012/mar/02/aclu-florida/shark-attacks-are-more-common-voter-fraud-florida/	
American Civil Liberties Union of Florida	2	Florida has "the most errors and exonerations from death row."	By one credible measure; another source differs	/florida/statements/2014/jun/02/aclu-florida/florida-aclu-says-state-has-most-errors-and-exoner/	
American Civil Liberties Union of Florida	4	"13,000 Floridians are able to vote -- but their governor won't tell them."	The state tried for years to reach these folks	/florida/statements/2012/aug/17/aclu-florida/aclu-says-rick-scott-wont-tell-13000-ex-felons-the/	
Ken Hodges	3	"Rob Teilhet, Just another career politician."	"Career politician" claim by elected official doesn't completely measure up	/georgia/statements/2010/jun/21/ken-hodges/campaigns-duel-over-career-politician-attack/	
Federation for American Immigration Reform	2	Illegal immigration costs Georgia $2.4 billion a year	Illegal immigration report uses estimates to reach debate conclusions	/georgia/statements/2011/feb/18/federation-american-immigration-reform/georgia-pols-use-report-push-immigration-reform/	
Federation for American Immigration Reform	3	"Unemployment has been on the rise throughout Wisconsin" as Paul Ryan stepped up his advocacy of "immigration increases."	Still high, but actually nudged down statewide in June	/wisconsin/statements/2013/aug/09/federation-american-immigration-reform/group-says-wisconsin-jobless-rate-was-rise-while-p/	
John Watson	1	The transportation sales tax would cost the average consumer an estimated $112 a year.	Some may not pay $112 a year	/georgia/statements/2012/jul/20/john-watson/will-t-splost-add-112-year-consumers/	
Loretta Sanchez	0	The House of Representatives does not have a prochoice majority.	Neither side has a true majority	/truth-o-meter/statements/2009/nov/11/loretta-sanchez/abortion-votes-house-play-out-stupak-amendment/	
Julie Parrish	4	"West Linn has one of the highest per capita rates of home-based businesses in the United States."	No place like home business	/oregon/statements/2013/oct/31/julie-parrish/west-linn-national-leader-number-home-businesses-p/	
Sheila Harsdorf	3	Says Democratic recall opponent Shelly Moore "opposes any limit on taxes."	Moore wanted to avoid increase for poor and some seniors	/wisconsin/statements/2011/jul/27/sheila-harsdorf/state-senator-sheila-harsdorf-says-recall-election/	
Wesley Clark	2	The Pentagon's survey about the "Don't Ask, Don't Tell" policy found that 92 percent of service members "agree that they could serve ... in a unit in combat" without compromising "mission readiness."	Correct for troops who think they served with someone gay, but not for all troops	/truth-o-meter/statements/2010/dec/06/wesley-clark/wesley-clark-says-92-percent-troops-surveyed-would/	
Wesley Clark	4	McCain "hasn't held executive responsibility."	McCain ran a Navy unit of 1,000 people	/truth-o-meter/statements/2008/jul/01/wesley-clark/mccain-ran-a-navy-unit-of-1000-people/	
Sylvester Turner	1	"Ninety percent of Texans say they do not want the nursing homes to close. It polls higher than anything else."	90 percent don't want state funding for nursing homes cut	/texas/statements/2011/apr/02/sylvester-turner/state-rep-sylvester-turner-says-90-percent-texans-/	
Grady Judd	1	Floridas proposed amendment for medical marijuana would allow "people who alleged minor ailments such as muscle spasms, neck pain, back pain and even menstrual cramps (to qualify) for government-sanctioned pot-smoking."	He's not blowing smoke	/florida/statements/2013/nov/25/grady-judd/medical-marijuana-easy-get-under-proposed-florida-/	
NaHa Daily	5	"Fox News airs Stuart Scott R.I.P. tribute with picture of Stephen A. Smith."	Satire website strikes again	/punditfact/statements/2015/jan/06/naha-daily/fox-news-wrong-picture-stuart-scott-espn/	
Yes on 84	4	The reason 29 states no longer have a death tax "is that the tax damaged their economic competitiveness."	Bush tax cut forced their hand	/oregon/statements/2012/sep/14/yes-84/did-29-states-dump-estate-tax-be-more-competitive/	
Republican Jewish Coalition	1	Barack Obama "refuses to acknowledge Jerusalem as the capital of Israel."	Position is consistent with longtime U.S. policy	/ohio/statements/2012/sep/24/republican-jewish-coalition/republican-jewish-coalition-says-obama-refuses-ack/	
Republican Jewish Coalition	1	"One out of every two kids who are graduating college right now can't find a job."	Can't find a job or can't find a job that requires a degree	/truth-o-meter/statements/2012/aug/02/republican-jewish-coalition/republican-jewish-coalition-says-half-recent-colle/	
Jack  Conners	1	"Almost 88,000 United States service members are still missing and unaccounted for, dating back to World War II."	Number of unaccounted-for from WWII recently lowered	/new-jersey/statements/2011/aug/08/jack-conners/assemblyman-jack-conners-says-almost-88000-us-serv/	
Joe Brown	5	"Nobody is leaving Memphis. That's a myth."	Its no myth	/tennessee/statements/2012/may/01/joe-brown/nobody-leaving-memphis-says-city-councilman-joe-br/	
Glenn Hegar	1	The "average taxpayer will see the equivalent of a 2 percent pay raise as a result of low fuel prices."	Fill 'er up	/texas/statements/2015/jan/10/glenn-hegar/glenn-hegar-says-benefit-lower-gas-prices-equivale/	
Glenn Hegar	2	"Texas still owns all of its public lands. If the federal gov't wants to create a park, they must ask permission!"	Texas, may I?	/texas/statements/2015/jul/17/glenn-hegar/glenn-hegar-says-texas-owns-its-public-lands-uncle/	
Glenn Hegar	4	Texans eat more catfish than residents of all other states combined.	Hooked us	/texas/statements/2011/mar/12/glenn-hegar/glenn-hegar-says-texas-leads-all-other-states-comb/	
Maxey Scherr	1	"We have more women living in poverty in this state than almost anywhere else."	Nearly one in five Texas women	/texas/statements/2014/feb/27/maxey-scherr/texas-among-top-slice-states-women-poverty-though-/	
Christopher L. Smith	1	Florida is "second in the nation in the uninsured."	Actually, No. 3	/florida/statements/2013/mar/08/christopher-l-smith/chris-smith-says-florida-no-2-uninsured/	
Christopher L. Smith	2	The election bill "allows persons to correct an absentee ballot if they did not sign it and requires an extra two hours a day for early voting. Everything else in this bill is discretionary."	Bill makes many changes, some discretionary	/florida/statements/2013/apr/23/christopher-l-smith/chris-smith-elections-bill-two-required-changes/	
Christopher L. Smith	2	Since Florida passed the "stand your ground" law in 2005, deaths due to self-defense have jumped over 250 percent.	Justifiable homicides tripled but the reasons require more analysis	/florida/statements/2012/mar/26/christopher-l-smith/sen-chris-smith-claimed-deaths-due-self-defense-fl/	
Donzella James	4	Georgia has the most lax gun laws in the nation.	Many states far lax than Georgia.	/georgia/statements/2013/mar/13/donzella-james/gun-law-claim-goes-awry/	
Kathie Glass	5	Says over 25 percent of the Texas budget funds services to non-U.S. citizens.	How to begin?	/texas/statements/2010/nov/12/kathie-glass/kathie-glass-says-more-25-percent-state-budget-fun/	
Kathie Glass	5	Says Rick Perry recently said he "wanted another (Texas) business tax."	Perry signed changes into law--in 2006.	/texas/statements/2010/oct/23/kathie-glass/kathie-glass-says-rick-perry-told-houston-newspape/	
Freedom PAC	2	U.S. Sen. Bill Nelson "chose to side with President Obama" against the Keystone pipeline	Murky claim ahead	/florida/statements/2012/may/09/freedom-pac/pro-connie-mack-super-pac-says-nelson-sides-obama-/	
David Ignatius	0	"Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people."	Does Russia want its gift back?	/punditfact/statements/2014/mar/02/david-ignatius/historical-claim-shows-why-crimea-matters-russia/	
Jane Harman	4	The Justice Departments Fast and Furious gun-walking program "started in the Bush administration."	Wasn't true when Obama said it either	/punditfact/statements/2014/sep/30/jane-harman/jane-harman-incorrectly-claims-fast-and-furious-gu/	
John Lee	2	Says "Clackamas County has more urban renewal debt than all the other Oregon counties combined."	Only if you ignore all those cities inside counties	/oregon/statements/2011/nov/01/john-lee/does-clackamas-county-have-more-urban-renewal-debt/	
John Lee	4	The study that states that more than 70 percent of the traffic on the Sellwood Bridge is to/from Clackamas County has been thoroughly debunked by The Oregonian.	That's a bridge too far	/oregon/statements/2011/may/07/john-lee/did-oregonian-debunk-10-year-old-study-sellwood-br/	
Debbie Dooley	1	The recently passed transportation funding bill is a billion-dollar tax increase for Georgians.	A fine line between taxes and fees	/georgia/statements/2015/apr/27/debbie-dooley/maybe-not-today-and-maybe-under-different-name-tax/	
Debbie Dooley	2	"Statistics show that more people at this time telecommute than they ride carpools, mass transit, bicycle or walk."	Should have stayed away from talking about carpools	/georgia/statements/2012/jul/03/debbie-dooley/tea-party-leader-makes-case-telecommuting/	
Debbie Dooley	4	"[Eighty-five percent] of the funds collected in each county will be redistributed elsewhere -- not spent in the county in which it is collected."	Not much concrete for this claim.	/georgia/statements/2011/sep/20/debbie-dooley/could-counties-be-out-luck-if-sales-tax-passes/	
Whoopi  Goldberg	2	In Texas, "sexting is a felony sex offense for teenagers  that can mean up to 10 years in prison."	Sexting isn't a felony  but child pornography is	/texas/statements/2011/feb/17/whoopi-goldberg/whoopi-goldberg-says-sexting-felony-texas-carrying/	
Whoopi  Goldberg	3	"For the first time in history, (Thors) hammer is being held by a woman."	Whoops, Whoopi!	/punditfact/statements/2014/jul/18/whoopi-goldberg/odins-beard-whoopi-goldberg-flubs-fact-about-femal/	
American LeadHERship PAC	1	"As mayor, [Allan Fung] raised taxes three times."	And three times he didn't	/rhode-island/statements/2014/oct/14/american-leadhership-pac/american-leadhership-ad-ignores-three-years-allan-/	
American LeadHERship PAC	1	"There have been at least 100 shootings each year [Angel Taveras] has been mayor" of Providence.	Except this year, and trend is down	/rhode-island/statements/2014/aug/29/american-leadhership-pac/american-leadhership-pac-says-providence-has-had-1/	
American LeadHERship PAC	2	Under Mayor Angel Taveras "Providences bond rating was downgraded from A to BBB, two steps above junk-bond status."	Bond rating veils full story	/rhode-island/statements/2013/sep/15/american-leadhership-pac/under-mayor-angel-taveras-providences-bond-rating-/	
Mary  Olson	2	Says "there is a plan formulated by Chair (Lynn) Peterson and the cities in Clackamas County to further increase this fee in three years and split it up on projects between the county and cities."	Not quite yet.	/oregon/statements/2010/dec/31/mary-olson/does-clackamas-county-plan-turn-5-year-vehicle-reg/	
Newt Gingrich	0	Sixteen million jobs were created under Ronald Reagan's presidency.	Newt goes back in time	/georgia/statements/2012/mar/02/newt-gingrich/gingrich-uses-reagan-record-make-case-his-campaign/	
Newt Gingrich	0	In 1992, Mitt Romney "gave money to Democrats for Congress."	Many GOPers, and three Dems	/florida/statements/2012/jan/31/newt-gingrich/Gingrich-Romney-campaign-contributions-Democrats/	
Newt Gingrich	0	There are 86 languages spoken at Miami Dade College.	Muchos idiomas!	/florida/statements/2012/jan/24/newt-gingrich/newt-gingrich-miami-dade-college-students-speak-86/	
Newt Gingrich	0	"The right-to-work states are creating a lot more jobs today than the heavily unionized states."	Newt's numbers right on jobs in right-to-work states	/georgia/statements/2011/jun/21/newt-gingrich/numbers-back-gingrich-job-growth-claim/	
Newt Gingrich	0	Says "some [states] with the largest reductions in crime have also lowered their prison population."	Who knew? Some states with large crime drops also have drops in prison rates.	/georgia/statements/2011/apr/05/newt-gingrich/gingrich-states-should-consider-alternatives-priso/	
Newt Gingrich	0	"Since World War II, only Gerald Ford and Bill Clinton have had worse ratings after seven months than President Obama."	Seven months in, Obama lags	/truth-o-meter/statements/2009/aug/31/newt-gingrich/barack-obama-poll-after-seven-months-shows-him-beh/	
Newt Gingrich	1	"(Obamacare) is a bill which has never once had a majority of Americans favor it."	Yes, but majority favors most elements of reform	/truth-o-meter/statements/2013/sep/26/newt-gingrich/obamacare-has-never-been-favored-majority-american/	
Newt Gingrich	1	Obama's secretary of energy, Dr. Steven Chu, "has said publicly he wants us to pay European levels (for gasoline), and that would be $9 or $10 a gallon."	Chu wanted a gradual price hike	/truth-o-meter/statements/2012/mar/14/newt-gingrich/gingrich-said-energy-secretary-advocated-raising-g/	
Newt Gingrich	1	"We balanced the budget with the 1997 Balanced Budget Act, and ultimately had four consecutive balanced budgets."	Much better phrased than previous versions	/truth-o-meter/statements/2012/jan/27/newt-gingrich/newt-gingrich-revises-claim-balanced-budgets-impro/	
Newt Gingrich	1	The EPA was asked about an environmental citation for the city landfill in Nashua, N.H. but "didnt know" why it was cited.	Listed, not cited, but not clear why	/truth-o-meter/statements/2012/jan/08/newt-gingrich/newt-gingrich-says-epa-didnt-know-why-it-cited-new/	
Newt Gingrich	1	"On the day of the New Hampshire primary in 1980, the top 13 people of Ronald Reagans staff quit."	Axed aides lost one for the Gipper	/georgia/statements/2011/jun/29/newt-gingrich/gingrich-cites-reagan-bid-say-he-can-win-presidenc/	
Newt Gingrich	1	Every 10th dollar spent by the Social Security Administration on its program for the poor is "waste, or fraud, they cant validate that the people should have gotten it," totaling about $8 billion a year.	Newt is almost on the money	/georgia/statements/2011/jun/24/newt-gingrich/gingrich-says-large-percent-social-security-paymen/	
Newt Gingrich	1	In every committee when the health care bill was considered, Democrats voted against an amendment that would require members of Congress and their staff to take the government-run public option as their health care plan.	Newt's right: Democrats don't want to give up their health care plans	/truth-o-meter/statements/2009/aug/10/newt-gingrich/most-democrats-are-opposed-giving-their-health-car/	
Newt Gingrich	2	Says Amazon has removed "aneducational game about Gettysburg."	The games are back	/punditfact/statements/2015/jun/30/newt-gingrich/gingrich-amazon-removed-educational-board-games-ab/	
Newt Gingrich	2	Shutdowns are "a normal part of the constitutional process," with 12 shutdowns under Democratic House Speaker Tip ONeill and two during his own speakership.	The number is right, but the shutdowns weren't equivalent	/truth-o-meter/statements/2013/oct/04/newt-gingrich/newt-gingrich-says-late-speaker-tip-oneill-served-/	
Newt Gingrich	2	Since 2007, "Texas has gained 440,000 people" while "Maryland has lost 20,000."	UPDATED: O'Malley and Gingrich fight to a draw in statistical faceoff	/truth-o-meter/statements/2013/sep/20/newt-gingrich/martin-omalley-newt-gingrich-face-off/	
Newt Gingrich	2	"Gangs have increased by 40 percent since this president was elected."	He cites FBI data, but it's a rough estimate	/truth-o-meter/statements/2013/jul/24/newt-gingrich/newt-gingrich-says-gangs-have-increased-40-percent/	
Newt Gingrich	2	The labor market is weak because if you count the unemployed, underemployed, and those whove stopped looking for work, the unemployment rate "actually went up last month to 13.5 percent."	Statistically insignificant rise was a departure from past three years	/truth-o-meter/statements/2013/may/07/newt-gingrich/newt-gingrich-says-rise-employment-statistic-shows/	
Newt Gingrich	2	Says that Rick Santorum "voted for the unions over FedEx."	He was against FedEx provision before he was for it	/tennessee/statements/2012/feb/29/newt-gingrich/newt-gingrich-says-rick-santorum-sided-union-inter/	
Newt Gingrich	2	Says a federal judge in San Antonio "issued a ruling that  not only could the students not pray at their graduation, if they used the word benediction, the word invocation, the word God, asked the audience to stand or asked for a moment of silence, he would put the superintendent in jail."	Superintendent to hoosegow? Not certain	/texas/statements/2012/feb/12/newt-gingrich/newt-gingrich-says-judge-threatened-jail-texas-sup/	
Newt Gingrich	2	Says Mitt Romney "put Planned Parenthood on a state medical board but failed to put a pro-life group on the same board."	Board has no say in abortion	/truth-o-meter/statements/2012/jan/20/newt-gingrich/Gingrich-ad-says-Mitt-Romney-appointed-Planned-Par/	
Newt Gingrich	2	"More people have been put on food stamps by Barack Obama than any president in American history."	Record numbers, but wrong to focus blame on Obama	/truth-o-meter/statements/2012/jan/17/newt-gingrich/newt-gingrich-says-more-people-have-been-put-food-/	
Newt Gingrich	2	"I never lobbied under any circumstance" for Freddie Mac.	When a lobbyist isn't a lobbyist	/truth-o-meter/statements/2011/dec/16/newt-gingrich/newt-gingrich-said-he-never-lobbied-freddie-mac-un/	
Newt Gingrich	2	Says IBM leader told Obama that using IBM technology to cut fraud could "pay for" health care reform.	White House didn't confirm or deny	/texas/statements/2011/dec/09/newt-gingrich/gingrich-says-ibm-made-obama-offer/	
Newt Gingrich	2	In Chile "they have 72 percent of the GDP in savings."	UPDATED: The number's on target, but incorrectly described	/truth-o-meter/statements/2011/nov/28/newt-gingrich/newt-gingrich-says-chile-has-72-percent-national-s/	
Newt Gingrich	2	"By 2014, there will be one administrator for every teacher on college campuses in the United States."	Yes, using one definition of "administrator"	/truth-o-meter/statements/2011/nov/14/newt-gingrich/newt-gingrich-says-2014-there-will-be-one-administ/	
Newt Gingrich	2	Under President Barack Obama, "more Americans are in poverty ... than at any time since the Census Bureau began keeping records on it over 50 years ago."	It's the second highest in four decades, at least	/truth-o-meter/statements/2011/nov/09/newt-gingrich/gingrich-says-more-americans-are-poverty-today-any/	
Newt Gingrich	2	"A large number of the uninsured earn $75,000 or more a year."	UPDATE: Census numbers aren't clear cut	/truth-o-meter/statements/2011/jun/15/newt-gingrich/newt-gingrich-says-large-number-uninsured-make-mor/	
Newt Gingrich	2	If today's economy was rebounding at the rate of the "Reagan recovery," it would have created the equivalent of 25 million new jobs and raised federal revenue by $800 billion a year.	Right on jobs, wrong on revenues	/georgia/statements/2011/jun/14/newt-gingrich/newt-gingrich-touts-scale-reagan-recovery-new-hamp/	
Newt Gingrich	2	President Barack Obama deserves to be called "the most successful food stamp president in American history" because "47 million Americans are on food stamps."	Food stamp use at record high, but not exclusively Obama's fault	/truth-o-meter/statements/2011/may/16/newt-gingrich/newt-gingrich-defends-calling-barack-obama-food-st/	
Newt Gingrich	2	The Obama administration "actually cut out the democracy in Egypt funds inside the State Department."	Sharper wording would have made it correct	/truth-o-meter/statements/2011/feb/16/newt-gingrich/newt-gingrich-accuses-obama-administration-cutting/	
Newt Gingrich	3	The money the Clinton Foundation took from from foreign governments while Hillary Clinton was secretary of state "is clearly illegal.  The Constitution says you cant take this stuff."	What's clear is it's not that clear	/punditfact/statements/2015/apr/26/newt-gingrich/newt-gingrich-clinton-foreign-donations-clearly-vi/	
Newt Gingrich	3	"Every major city which has a center of poverty is run by Democrats. Every major city."	Republicans run 3 of the top 20	/punditfact/statements/2013/dec/15/newt-gingrich/new-gingrich-says-poverty-problems-are-tied-democr/	
Newt Gingrich	3	One estimate says there may be "three times as much oil in the United States as there is in Saudi Arabia."	Not an apples-to-apples comparison	/truth-o-meter/statements/2012/feb/24/newt-gingrich/newt-gingrich-says-us-may-have-three-times-much-oi/	
