Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
Paul LePage	5	About 47 percent of able-bodied people in the state of Maine dont work.	Only if you support jobs for babies	/truth-o-meter/statements/2013/oct/23/paul-lepage/maine-gov-paul-lepage-says-47-percent-able-bodied-/
Suzanne Somers	0	Even after Obamacare is fully implemented, there still will be tens of millions of people not covered.	Some ridiculed her column, but this claim is correct	/punditfact/statements/2013/nov/01/suzanne-somers/suzanne-somers-says-even-obamacare-tens-millions-w/
John Barge	1	We have about six school districts that are in school 140 to 150 days this year.	Tight budgets tightening school days	/georgia/statements/2013/oct/29/john-barge/barges-count-tad-school-calendars-message-mark/
Roger Williams	3	The non-partisan Congressional Budget Office concluded ObamaCare will cost the U.S. more than 800,000 jobs.	Chestnut of a distortion	/texas/statements/2012/apr/17/roger-williams/roger-williams-says-cbo-forecasts-obamacare-will-c/
American Civil Liberties Union of Florida	4	13,000 Floridians are able to vote -- but their governor won't tell them.	The state tried for years to reach these folks	/florida/statements/2012/aug/17/aclu-florida/aclu-says-rick-scott-wont-tell-13000-ex-felons-the/
Ken Hodges	3	Rob Teilhet, Just another career politician.	"Career politician" claim by elected official doesn't completely measure up	/georgia/statements/2010/jun/21/ken-hodges/campaigns-duel-over-career-politician-attack/
Julie Parrish	4	West Linn has one of the highest per capita rates of home-based businesses in the United States.	No place like home business	/oregon/statements/2013/oct/31/julie-parrish/west-linn-national-leader-number-home-businesses-p/
Sylvester Turner	1	Ninety percent of Texans say they do not want the nursing homes to close. It polls higher than anything else.	90 percent don't want state funding for nursing homes cut	/texas/statements/2011/apr/02/sylvester-turner/state-rep-sylvester-turner-says-90-percent-texans-/
NaHa Daily	5	Fox News airs Stuart Scott R.I.P. tribute with picture of Stephen A. Smith.	Satire website strikes again	/punditfact/statements/2015/jan/06/naha-daily/fox-news-wrong-picture-stuart-scott-espn/
Republican Jewish Coalition	1	One out of every two kids who are graduating college right now can't find a job.	Can't find a job or can't find a job that requires a degree	/truth-o-meter/statements/2012/aug/02/republican-jewish-coalition/republican-jewish-coalition-says-half-recent-colle/
Jack  Conners	1	Almost 88,000 United States service members are still missing and unaccounted for, dating back to World War II.	Number of unaccounted-for from WWII recently lowered	/new-jersey/statements/2011/aug/08/jack-conners/assemblyman-jack-conners-says-almost-88000-us-serv/
Joe Brown	5	Nobody is leaving Memphis. That's a myth.	Its no myth	/tennessee/statements/2012/may/01/joe-brown/nobody-leaving-memphis-says-city-councilman-joe-br/
Glenn Hegar	2	Texas still owns all of its public lands. If the federal gov't wants to create a park, they must ask permission!	Texas, may I?	/texas/statements/2015/jul/17/glenn-hegar/glenn-hegar-says-texas-owns-its-public-lands-uncle/
Maxey Scherr	1	We have more women living in poverty in this state than almost anywhere else.	Nearly one in five Texas women	/texas/statements/2014/feb/27/maxey-scherr/texas-among-top-slice-states-women-poverty-though-/
David Ignatius	0	Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.	Does Russia want its gift back?	/punditfact/statements/2014/mar/02/david-ignatius/historical-claim-shows-why-crimea-matters-russia/
John Lee	2	Clackamas County has more urban renewal debt than all the other Oregon counties combined.	Only if you ignore all those cities inside counties	/oregon/statements/2011/nov/01/john-lee/does-clackamas-county-have-more-urban-renewal-debt/
Debbie Dooley	2	Statistics show that more people at this time telecommute than they ride carpools, mass transit, bicycle or walk.	Should have stayed away from talking about carpools	/georgia/statements/2012/jul/03/debbie-dooley/tea-party-leader-makes-case-telecommuting/
Debbie Dooley	4	[Eighty-five percent] of the funds collected in each county will be redistributed elsewhere -- not spent in the county in which it is collected.	Not much concrete for this claim.	/georgia/statements/2011/sep/20/debbie-dooley/could-counties-be-out-luck-if-sales-tax-passes/
