,0.0,None
said,0.0,None
freedom,0.0,None
article,0.0,None
dont,1.1334086284920118e-261,None
poll,1.2075777249573057e-222,None
however,1.101922973624022e-216,None
thats,6.515243067900125e-195,None
year,1.321411191150712e-173,None
minister,1.1301260985947336e-172,None
trumps,1.294655945641642e-167,None
posted,1.6937996736064103e-167,None
added,4.038225752965134e-161,None
didnt,4.77845218154404e-156,None
actually,1.0334546330107292e-147,None
tuesday,2.5462675984962982e-143,None
agree,4.1320626203547866e-142,None
hillary,2.5911576760815365e-135,None
continues,4.6285850540633726e-135,None
wednesday,2.490698091473623e-132,None
im,1.0240218959702392e-131,None
monday,5.253580184244327e-131,None
thursday,1.5693413255811745e-126,None
doesnt,1.9876968970563273e-125,None
theres,4.1228091929700766e-125,None
friday,1.417300842703518e-120,None
countrys,1.2167042333771376e-118,None
obama,8.561482354158993e-116,None
week,1.184083306882213e-111,None
cant,6.6211595609082504e-111,None
feb,2.1697731650871186e-110,None
american,3.2009674990108457e-109,None
nothing,2.9081399880779973e-103,None
month,2.962143652754838e-103,None
free,1.4973927632596247e-102,None
field,1.7614542373541356e-102,None
americans,1.914685027046458e-101,None
hes,2.004973046268866e-99,None
clinton,2.8872651832553137e-96,None
muslim,4.860604341678871e-95,None
hate,2.060549971547613e-91,None
simply,2.7885499066276796e-91,None
even,2.065745312107836e-90,None
theyre,2.703714020009604e-88,None
democrat,3.754763141662564e-86,None
statement,8.17388345205332e-86,None
saturday,3.053260763759705e-85,None
isnt,3.95600723920404e-82,None
years,1.0351917155595022e-81,None
reuters,3.076358566918698e-81,None
destroy,3.322878064945239e-81,None
mr,1.0910263933824094e-79,None
anyone,1.4981738676464527e-79,None
islam,8.863903405916937e-79,None
last,1.8201702257230504e-78,None
truth,2.907220651815594e-78,None
wasnt,6.18465368745036e-78,None
harris,1.0867594151313244e-76,None
sunday,1.4456484980371042e-75,None
region,2.6143272877282806e-75,None
actual,7.725393596506703e-75,None
america,2.0820081609038027e-74,None
chief,4.0707232501079196e-74,None
prime,2.0212601694079627e-72,None
weve,4.408411899911179e-71,None
2015,5.546897317273322e-71,None
adam,4.86124808339845e-70,None
us,8.602688652843572e-70,None
left,8.344927071921931e-69,None
wont,1.5837596498425788e-68,None
development,2.3243531975298895e-68,None
ministry,6.049413490552066e-68,None
youre,1.729689596243603e-67,None
1,5.479026898404432e-66,None
seems,1.6462380028722982e-63,None
upon,2.7198011062509576e-63,None
immigration,4.1029777163261106e-63,None
terms,4.348801250934451e-63,None
access,5.50864684993112e-63,None
worlds,9.943599732420153e-63,None
israels,1.4186449767012855e-62,None
sen,6.078245052833457e-62,None
pakistan,9.980086453843926e-62,None
wonder,1.4831386084181859e-61,None
evil,9.228764066179375e-61,None
later,1.1241404330264568e-60,None
photo,1.206801424729919e-60,None
moral,1.400900873063632e-60,None
shall,2.3454511644371835e-60,None
meanwhile,2.4246978896969802e-60,None
ive,3.4664319974676343e-60,None
2017,4.29448371397641e-60,None
2016,6.667274968572465e-60,None
waters,5.211366281666337e-59,None
10,1.0476862840562715e-58,None
told,3.483606033059724e-58,None
two,1.759779270109772e-57,None
whats,3.822268455410274e-57,None
expected,4.8484441799433797e-57,None
morning,6.471226910691023e-57,None
international,1.3234774865804588e-56,None
meeting,1.7404422509745243e-56,None
muslims,2.373629380370645e-56,None
supposed,3.944891901687242e-56,None
dr,1.930359443957287e-55,None
irans,2.694489627618534e-55,None
capital,1.0803272698389422e-54,None
china,1.2430745087594234e-54,None
merely,3.202193804501648e-54,None
12,5.029974283481481e-54,None
obvious,6.336777318110875e-54,None
consider,9.148978626195426e-54,None
provided,1.0085711171615017e-53,None
claim,2.1110990803797107e-53,None
pm,3.4349737188629504e-53,None
images,4.216714218331461e-53,None
buy,4.305210171132475e-53,None
exactly,8.037030969772052e-53,None
socialist,8.804686675524369e-53,None
rep,1.4456964421474851e-52,None
entire,3.093006974569823e-52,None
spokesman,4.0297903593059706e-52,None
readers,5.727389550988382e-52,None
islamic,6.995106952748929e-52,None
afp,8.152005421643149e-52,None
agreement,1.1063437561691374e-51,None
visit,1.1864136021707656e-51,None
company,5.546149005596096e-51,None
home,2.099751103778178e-50,None
14,5.350235607157664e-50,None
province,7.5578121840534525e-50,None
february,1.055717842678792e-49,None
15,1.66168917704054e-49,None
city,3.789847784594241e-49,None
communist,7.771771036738828e-49,None
peoples,1.479517776174282e-48,None
talks,1.8338071224741322e-48,None
investigative,3.408041867986493e-48,None
somehow,5.761938109948605e-48,None
racist,1.55086717897017e-47,None
countries,1.7225992726529495e-47,None
area,5.131640637456956e-47,None
announced,6.417251738083598e-47,None
also,7.949923895705513e-47,None
decision,1.2849117864358e-46,None
adding,1.619103042640131e-46,None
believe,1.7566968851483646e-46,None
wouldnt,2.1672934294632505e-46,None
doj,2.5507398600531313e-46,None
fbi,2.5669914982821405e-46,None
socalled,7.081210168117333e-46,None
hatred,8.765088884578608e-46,None
ago,1.1273661096334562e-45,None
leader,1.3262692313731284e-45,None
30,1.6911768972306325e-45,None
india,2.2744600382386173e-45,None
months,3.348583374013809e-45,None
except,1.1323895828602383e-44,None
april,1.368831543516523e-44,None
day,2.233447340734894e-44,None
apparently,5.898904781632316e-44,None
